target_phrase	result_1	result_2	result_3	result_4	result_5	final_result
elbow grease	literal	literal	literal	literal	literal	literal
night owl	literal	literal	literal	literal	literal	literal
heart of gold	literal	literal	literal	literal	literal	literal
agony aunt	literal	literal	literal	literal	literal	literal
shrinking violet	literal	literal	literal	literal	literal	literal
green fingers	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
ancient history	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
banana republic	literal	literal	literal	literal	literal	literal
devil's advocate	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
private eye	literal	literal	literal	literal	literal	literal
pipe dream	literal	literal	literal	literal	literal	literal
piece of cake	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
rocket science	literal	literal	literal	literal	literal	literal
brass ring	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
apples and oranges	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
nest egg	literal	literal	literal	literal	literal	literal
ghost town	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
bull market	literal	literal	literal	literal	literal	literal
beached whale	literal	literal	literal	literal	literal	literal
flower child	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
copy cat	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
lounge lizard	literal	literal	literal	literal	literal	literal
secret santa	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
dirty word	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
close shave	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
donkey work	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
bear market	literal	literal	literal	literal	literal	literal
top dog	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
dog's dinner	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
white hat	literal	literal	literal	literal	literal	literal
smoking gun	literal	literal	literal	literal	literal	literal
old flame	literal	literal	literal	literal	literal	literal
zebra crossing	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
eye candy	idiomatic	literal	idiomatic	idiomatic	idiomatic	idiomatic
ivory tower	literal	literal	literal	literal	literal	literal
black sheep	literal	literal	literal	literal	literal	literal
armchair critic	idiomatic	literal	idiomatic	idiomatic	idiomatic	idiomatic
gravy train	literal	idiomatic	literal	literal	literal	literal
rat race	literal	idiomatic	literal	literal	literal	literal
hot potato	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
spring chicken	literal	literal	literal	literal	literal	literal
love triangle	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
black box	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
hen party	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
acid test	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
inner circle	literal	literal	literal	literal	literal	literal
bad apple	literal	literal	literal	literal	literal	literal
honey trap	literal	literal	literal	literal	literal	literal
